epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.585,1.66404,2.86371,1.08442,0.00606,0.9077,0.10693,0.04137,1.32815,3.372,1.38574,0.000541044,0.000541044,0.000541044
2,540.651,1.54907,1.73662,1.0632,0.00645,0.96326,0.32369,0.16426,1.66987,3.25638,1.81982,0.001075,0.001075,0.001075
3,788.152,1.54829,1.54392,1.09119,0.94849,0.33951,0.43677,0.24721,2.04094,2.64888,1.98676,0.00158694,0.00158694,0.00158694
4,926.005,1.50835,1.3489,1.05866,0.96329,0.40123,0.4581,0.24353,2.0827,2.43713,2.10625,0.00156798,0.00156798,0.00156798
5,1063.55,1.53067,1.23203,1.07635,0.87573,0.38889,0.41082,0.21689,2.25868,2.2559,2.14662,0.00153497,0.00153497,0.00153497
6,1201.24,1.51463,1.0836,1.07537,0.9559,0.3642,0.42262,0.22148,2.35968,2.52555,2.25522,0.00150197,0.00150197,0.00150197
7,1345.2,1.54939,1.00784,1.08544,0.91834,0.41112,0.43351,0.22308,2.48578,2.27046,2.24485,0.00146896,0.00146896,0.00146896
8,1487.83,1.48112,0.9616,1.06655,0.92128,0.38889,0.40904,0.25125,2.30801,2.45224,2.3175,0.00143595,0.00143595,0.00143595
9,1628.01,1.44519,0.87232,1.03953,0.38111,0.39506,0.41883,0.27059,2.32742,2.52579,2.3843,0.00140295,0.00140295,0.00140295
10,1767.63,1.41531,0.82205,1.05232,0.44885,0.37919,0.42642,0.27224,2.35429,2.26831,2.29555,0.00136994,0.00136994,0.00136994
11,1907.31,1.41893,0.80611,1.04454,0.4283,0.40123,0.42993,0.24567,2.32308,2.30507,2.29434,0.00133693,0.00133693,0.00133693
12,2047.21,1.40718,0.7793,1.02516,0.42233,0.37654,0.42696,0.25591,2.34204,2.15113,2.30048,0.00130393,0.00130393,0.00130393
13,2185.64,1.36735,0.74859,1.0245,0.41433,0.41795,0.427,0.24729,2.46538,2.50557,2.44882,0.00127092,0.00127092,0.00127092
14,2323.24,1.37661,0.72456,1.04625,0.45594,0.38331,0.40568,0.23671,2.76956,2.69542,2.99682,0.00123791,0.00123791,0.00123791
15,2461.59,1.38865,0.72446,1.01331,0.32589,0.2284,0.28934,0.16922,2.66026,2.90851,2.55297,0.00120491,0.00120491,0.00120491
16,2603.81,1.33825,0.70814,1.00562,0.4007,0.34874,0.3939,0.24816,2.31403,2.19677,2.262,0.0011719,0.0011719,0.0011719
17,2745.12,1.32952,0.68867,1.00887,0.46463,0.39506,0.45238,0.26713,2.40564,2.34357,2.43771,0.00113889,0.00113889,0.00113889
18,2883.43,1.35169,0.67585,1.01152,0.46017,0.3566,0.43034,0.28167,2.37561,2.40118,2.45835,0.00110589,0.00110589,0.00110589
19,3031.11,1.30296,0.65265,1.01395,0.37854,0.36553,0.39169,0.2358,2.45254,2.35464,2.4322,0.00107288,0.00107288,0.00107288
20,3170.36,1.3307,0.66413,1.0099,0.426,0.38272,0.41767,0.26948,2.39298,2.40755,2.51013,0.00103987,0.00103987,0.00103987
21,3323.46,1.31127,0.66039,0.99776,0.37497,0.33951,0.38323,0.23222,2.39196,2.46007,2.38947,0.00100687,0.00100687,0.00100687
22,3460.06,1.31899,0.63155,1.01037,0.44493,0.39896,0.4311,0.24387,2.42384,2.4914,2.44014,0.000973861,0.000973861,0.000973861
23,3597.58,1.30494,0.63882,0.98916,0.34319,0.44583,0.43063,0.24843,2.40911,2.40644,2.38407,0.000940855,0.000940855,0.000940855
24,3745.92,1.30233,0.62521,1.00071,0.41871,0.33333,0.39803,0.23469,2.47241,2.38937,2.47265,0.000907848,0.000907848,0.000907848
25,3884.61,1.25048,0.61005,0.97603,0.43238,0.38272,0.42506,0.25775,2.38378,2.27246,2.32685,0.000874842,0.000874842,0.000874842
26,4023.12,1.25902,0.59823,0.99294,0.45484,0.37301,0.42137,0.23652,2.51712,2.70727,2.60005,0.000841835,0.000841835,0.000841835
27,4157.63,1.26032,0.593,1.00127,0.41623,0.34568,0.38885,0.24253,2.39955,2.68141,2.4962,0.000808828,0.000808828,0.000808828
28,4291.76,1.25122,0.59332,0.98673,0.4674,0.35401,0.40204,0.23173,2.54841,2.79626,5.40676,0.000775822,0.000775822,0.000775822
29,4425.28,1.25691,0.59054,0.99606,0.35845,0.4321,0.42998,0.25478,2.44298,2.52384,2.45936,0.000742815,0.000742815,0.000742815
30,4559.61,1.25741,0.59345,0.98173,0.45178,0.40488,0.44199,0.28367,2.48999,2.44576,2.60606,0.000709809,0.000709809,0.000709809
31,4694.16,1.24165,0.5764,0.97963,0.45496,0.37412,0.42146,0.2376,2.8254,2.72686,2.92628,0.000676802,0.000676802,0.000676802
32,4829.7,1.24155,0.56554,0.98431,0.46536,0.40741,0.45593,0.2906,2.40498,2.36224,2.42122,0.000643795,0.000643795,0.000643795
33,4963.86,1.21352,0.5557,0.96802,0.45199,0.41358,0.44759,0.2685,2.4189,2.38171,2.31836,0.000610789,0.000610789,0.000610789
34,5097.66,1.24426,0.56427,0.98059,0.4099,0.43827,0.44699,0.28082,2.2667,2.20177,2.24451,0.000577782,0.000577782,0.000577782
35,5243.68,1.20672,0.54501,0.97212,0.47199,0.41605,0.45628,0.27609,2.41497,2.43098,2.38358,0.000544776,0.000544776,0.000544776
36,5390.08,1.20432,0.53888,0.96236,0.4539,0.42546,0.45734,0.28484,2.54359,2.57536,2.60307,0.000511769,0.000511769,0.000511769
37,5536.87,1.1819,0.55683,0.96366,0.46518,0.41231,0.4575,0.28285,2.57048,2.56717,2.6697,0.000478762,0.000478762,0.000478762
38,5688.13,1.19919,0.54529,0.95885,0.47363,0.40123,0.44411,0.28483,2.44252,2.50816,2.45787,0.000445756,0.000445756,0.000445756
39,5839.37,1.21018,0.53543,0.97727,0.46821,0.41975,0.45408,0.275,2.46248,2.49578,2.48924,0.000412749,0.000412749,0.000412749
40,5975.37,1.17264,0.52404,0.96295,0.48061,0.41358,0.45264,0.26645,2.63809,2.60702,2.66708,0.000379743,0.000379743,0.000379743
41,6111.04,1.16983,0.53183,0.99146,0.47101,0.39506,0.44777,0.27134,2.65086,2.8432,2.86905,0.000346736,0.000346736,0.000346736
